Taxonomy ID,Scientific Name,Type,Rank,Source
12637,Dengue virus,Viruses,No rank,Global Arbovirus Initiative
11089,Yellow fever virus,Viruses,No rank,Global Arbovirus Initiative
11082,West Nile virus,Viruses,No rank,Global Arbovirus Initiative
64320,Zika virus,Viruses,No rank,Global Arbovirus Initiative
64286,Usutu virus,Viruses,No rank,Global Arbovirus Initiative
37124,Chikungunya virus,Viruses,Species,Global Arbovirus Initiative
3052518,Orthonairovirus haemorrhagiae,Viruses,Species,Global Arbovirus Initiative
11588,Rift Valley fever virus,Viruses,No rank,Global Arbovirus Initiative
64318,Spondweni virus,Viruses,Species,Global Arbovirus Initiative
11021,Eastern equine encephalitis virus,Viruses,Species,Arbovirus Encephalitides - StatPearls Publishing
11039 ,Western equine encephalitis virus,Viruses,Species,Arbovirus Encephalitides - StatPearls Publishing
11036,Venezuelan equine encephalitis virus,Viruses,Species,Arbovirus Encephalitides - StatPearls Publishing
11072 ,Japanese encephalitis virus,Viruses,No rank,Arbovirus Encephalitides - StatPearls Publishing
11079,Murray Valley encephalitis virus,Viruses,No rank,Arbovirus Encephalitides - StatPearls Publishing
11080,St. Louis encephalitis virus,Viruses,No rank,Arbovirus Encephalitides - StatPearls Publishing
11083 ,Powassan virus,Viruses,No rank,Arbovirus Encephalitides - StatPearls Publishing
11084 ,Tick-borne encephalitis,Viruses,No rank,Arbovirus Encephalitides - StatPearls Publishing
11577 ,La Crosse virus,Viruses,No rank,Arbovirus Encephalitides - StatPearls Publishing
35305 ,California encephalitis virus,Viruses,No rank,Arbovirus Encephalitides - StatPearls Publishing
46839 ,Colorado tick fever virus,Viruses,No rank,Arbovirus Encephalitides - StatPearls Publishing
11019,Alphavirus,Viruses,Genus,NCBI Taxonomy
11051,Flavivirus,Viruses,Genus,NCBI Taxonomy 
