Taxonomy ID,Scientific Name,Type,Rank,Source
138,Borrelia spp,Bacteria,Genus,HSE (UK)
139,Borreliella burgdorferi,Bacteria,Species,HSE (UK)
157,Treponema spp,Bacteria,Genus,HSE (UK)
160,Treponema pallidum,Bacteria,Species,"HSE (UK), NIAID"
168,Treponema pallidum subsp. pertenue,Bacteria,Species,HSE (UK)
173,Leptospira interrogans,Bacteria,Species,HSE (UK)
194,Campylobacter,Bacteria,Genus,NIAID
194,Campylobacter spp,Bacteria,Genus,HSE (UK)
196,Campylobacter fetus,Bacteria,Species,HSE (UK)
197,Campylobacter jejuni,Bacteria,Species,HSE (UK)
210,Helicobacter pylori,Bacteria,Species,HSE (UK)
235,Brucella abortus,Bacteria,Species,"HSE (UK), SAPO"
236,Brucella ovis,Bacteria,Species,SAPO
238,Elizabethkingia meningoseptica,Bacteria,Species,HSE (UK)
263,Francisella tularensis,Bacteria,Species,"HSE (UK), NIAID"
287,Pseudomonas aeruginosa,Bacteria,Species,"HSE (UK), NIAID, WHO"
292,Burkholderia cepacia,Bacteria,Species,HSE (UK)
445,Legionella spp,Bacteria,Genus,HSE (UK)
446,Legionella pneumophila,Bacteria,Species,HSE (UK)
447,Legionella bozemanae,Bacteria,Species,HSE (UK)
470,Acinetobacter baumannii,Bacteria,Species,"HSE (UK), NIAID, WHO"
480,Moraxella catarrhalis,Bacteria,Species,HSE (UK)
485,Neisseria gonorrhoeae,Bacteria,Species,"HSE (UK), NIAID, WHO"
487,Neisseria meningitidis,Bacteria,Species,HSE (UK)
507,Alcaligenes spp,Bacteria,Genus,HSE (UK)
517,Bordetella spp,Bacteria,Genus,HSE (UK)
518,Bordetella bronchiseptica,Bacteria,Species,HSE (UK)
519,Bordetella parapertussis,Bacteria,Species,HSE (UK)
520,Bordetella pertussis,Bacteria,Species,HSE (UK)
539,Eikenella corrodens,Bacteria,Species,HSE (UK)
543,Enterobacteriaceae,Bacteria,Family,WHO
547,Enterobacter,Bacteria,Genus,NIAID
547,Enterobacter spp,Bacteria,Genus,HSE (UK)
550,Enterobacter cloacae,Bacteria,Species,HSE (UK)
562,Escherichia coli,Bacteria,Species,"HSE (UK), NIAID"
570,Klebsiella spp,Bacteria,Genus,HSE (UK)
571,Klebsiella oxytoca,Bacteria,Species,HSE (UK)
573,Klebsiella pneumoniae,Bacteria,Species,"HSE (UK), NIAID"
582,Morganella morganii,Bacteria,Species,HSE (UK)
584,Proteus mirabilis,Bacteria,Species,HSE (UK)
585,Proteus vulgaris,Bacteria,Species,HSE (UK)
586,Providencia spp,Bacteria,Genus,HSE (UK)
587,Providencia rettgeri,Bacteria,Species,HSE (UK)
590,Salmonella,Bacteria,Genus,"NIAID, WHO"
590,Salmonella spp,Bacteria,Genus,HSE (UK)
620,Shigella,Bacteria,Genus,"NIAID, WHO"
621,Shigella boydii,Bacteria,Species,HSE (UK)
622,Shigella dysenteriae,Bacteria,Species,HSE (UK)
623,Shigella flexneri,Bacteria,Species,HSE (UK)
624,Shigella sonnei,Bacteria,Species,HSE (UK)
629,Yersinia spp,Bacteria,Species,HSE (UK)
630,Yersinia enterocolitica,Bacteria,Species,HSE (UK)
632,Yersinia pestis,Bacteria,Species,"HSE (UK), NIAID"
633,Yersinia pseudotuberculosis,Bacteria,Species,HSE (UK)
636,Edwardsiella tarda,Bacteria,Species,HSE (UK)
662,Vibrio spp,Bacteria,Genus,HSE (UK)
666,Vibrio cholerae,Bacteria,Species,HSE (UK)
670,Vibrio parahaemolyticus,Bacteria,Species,HSE (UK)
703,Plesiomonas shigelloides,Bacteria,Species,HSE (UK)
