Taxonomy ID,Scientific Name,Type,Rank,Source
4827,Mucorales,Fungi,Order,WHO
4840,Rhizomucor pusillus,Fungi,Species,HSE (UK)
4909,Pichia kudriavzevii,Fungi,Species,WHO
5036,Histoplasma,Fungi,Genus,WHO
5039,Blastomyces dermatitidis,Fungi,Species,HSE (UK)
5052,Aspergillus spp,Fungi,Genus,HSE (UK)
5207,Cryptococcus neoformans,Fungi,Species,WHO
5476,Candida albicans,Fungi,Species,"HSE (UK), WHO"
5478,Nakaseomyces glabratus,Fungi,Species,WHO
5480,Candida parapsilosis,Fungi,Species,WHO
5482,Candida tropicalis,Fungi,Species,"HSE (UK), WHO"
5500,Coccidioides,Fungi,Genus,WHO
5501,Coccidioides immitis,Fungi,Species,HSE (UK)
5506,Fusarium,Fungi,Genus,WHO
5506,Fusarium spp,Fungi,Genus,HSE (UK)
5550,Trichophyton spp,Fungi,Genus,HSE (UK)
5551,Trichophyton rubrum,Fungi,Species,HSE (UK)
5552,Trichosporon spp,Fungi,Genus,HSE (UK)
5583,Exophiala spp,Fungi,Genus,HSE (UK)
29908,Sporothrix schenckii,Fungi,Species,HSE (UK)
34391,Epidermophyton floccosum,Fungi,Species,HSE (UK)
34392,Microsporum spp,Fungi,Genus,HSE (UK)
37727,Talaromyces marneffei,Fungi,Species,"HSE (UK), WHO"
37769,Cryptococcus gattii VGI,Fungi,Species,HSE (UK)
38946,Paracoccidioides,Fungi,Genus,WHO
40355,Fonsecaea pedrosoi,Fungi,Species,HSE (UK)
40410,Cryptococcus neoformans var. neoformans,Fungi,Species,HSE (UK)
41687,Scedosporium,Fungi,Genus,WHO
41688,Lomentospora prolificans,Fungi,Species,WHO
42068,Pneumocystis jirovecii,Fungi,Species,WHO
42458,Lichtheimia corymbifera,Fungi,Species,HSE (UK)
43987,Geotrichum spp,Fungi,Genus,HSE (UK)
55193,Malassezia spp,Fungi,Genus,HSE (UK)
58291,Rhizopus microsporus,Fungi,Species,HSE (UK)
73230,Emmonsia crescens,Fungi,Species,HSE (UK)
86056,Rhinocladiella mackenziei,Fungi,Species,HSE (UK)
86057,Fonsecaea compacta,Fungi,Species,HSE (UK)
89940,Cladophialophora bantiana,Fungi,Species,HSE (UK)
90258,Saksenaea vasiformis,Fungi,Species,HSE (UK)
100816,Madurella mycetomatis,Fungi,Species,HSE (UK)
121759,Paracoccidioides brasiliensis,Fungi,Species,HSE (UK)
149546,Histoplasma capsulatum var. duboisii,Fungi,Species,HSE (UK)
149547,Histoplasma capsulatum var. Farciminosum,Fungi,Species,SAPO
149547,Histoplasma capsulatum var. farciminosum,Fungi,Species,HSE (UK)
160030,Zopfia rosatii,Fungi,Species,HSE (UK)
199306,Coccidioides posadasii,Fungi,Species,HSE (UK)
278162,Histoplasma capsulatum var. capsulatum,Fungi,Species,HSE (UK)
498019,Candida auris,Fungi,Species,WHO
552467,Cryptococcus bacillisporus,Fungi,Species,HSE (UK)
561152,Scopulariopsis brevicaulis,Fungi,Species,HSE (UK)
563466,Scedosporium apiospermum,Fungi,Species,HSE (UK)
746128,Aspergillus fumigatus,Fungi,Species,"HSE (UK), WHO"
1048829,Paracoccidioides lutzii,Fungi,Species,HSE (UK)
1489895,Trematosphaeria grisea,Fungi,Species,HSE (UK)
1535326,Candida spp,Fungi,Genus,HSE (UK)
1884637,Cryptococcus gattii species complex,Fungi,Species group,WHO
2060905,Blastomyces parvus,Fungi,Species,HSE (UK)
41688,Lomentospora prolificans,Fungi,Species,HSE (UK)
4827,Mucorales,Fungi,Order,NIAID
5500,Coccidioides,Fungi,Genus,NIAID
6029,Microsporidia,Fungi,Phylum,NIAID
