Taxonomy ID,Scientific Name,Type,Rank,Source
6181,Schistosoma spp,Helminths,Genus,HSE (UK)
6182,Schistosoma japonicum,Helminths,Species,HSE (UK)
6183,Schistosoma mansoni,Helminths,Species,HSE (UK)
6185,Schistosoma haematobium,Helminths,Species,HSE (UK)
6187,Schistosoma intercalatum,Helminths,Species,HSE (UK)
6192,Fasciola hepatica,Helminths,Species,HSE (UK)
6197,Opisthorchis spp,Helminths,Genus,HSE (UK)
6198,Opisthorchis viverrini,Helminths,Species,HSE (UK)
6204,Taenia solium,Helminths,Species,HSE (UK)
6206,Taenia saginata,Helminths,Species,HSE (UK)
6210,Echinococcus granulosus,Helminths,Species,"HSE (UK), SAPO"
6211,Echinococcus multilocularis,Helminths,Species,"HSE (UK), SAPO"
6213,Echinococcus vogeli,Helminths,Species,HSE (UK)
6216,Hymenolepis diminuta,Helminths,Species,HSE (UK)
6247,Strongyloides spp,Helminths,Genus,HSE (UK)
6248,Strongyloides stercoralis,Helminths,Species,HSE (UK)
6252,Ascaris lumbricoides,Helminths,Species,HSE (UK)
6253,Ascaris suum,Helminths,Species,HSE (UK)
6265,Toxocara canis,Helminths,Species,HSE (UK)
6266,Toxocara cati,Helminths,Species,HSE (UK)
6271,Pseudoterranova decipiens,Helminths,Species,HSE (UK)
6279,Brugia malayi,Helminths,Species,HSE (UK)
6280,Brugia pahangi,Helminths,Species,HSE (UK)
6282,Onchocerca volvulus,Helminths,Species,HSE (UK)
6293,Wuchereria bancrofti,Helminths,Species,HSE (UK)
6313,Angiostrongylus cantonensis,Helminths,Species,HSE (UK)
6318,Trichostrongylus spp,Helminths,Genus,HSE (UK)
6334,Trichinella spiralis,Helminths,Species,"HSE (UK), SAPO"
6335,Trichinella nativa,Helminths,Species,HSE (UK)
6336,Trichinella nelsoni,Helminths,Species,HSE (UK)
6337,Trichinella pseudospiralis,Helminths,Species,HSE (UK)
7209,Loa loa,Helminths,Species,HSE (UK)
27845,Fasciolopsis buski,Helminths,Species,HSE (UK)
34503,Paragonimus spp,Helminths,Genus,HSE (UK)
34504,Paragonimus westermani,Helminths,Species,HSE (UK)
36087,Trichuris trichiura,Helminths,Species,HSE (UK)
38744,Schistosoma mekongi,Helminths,Species,HSE (UK)
41765,Opisthorchis sinensis,Helminths,Species,HSE (UK)
42155,Brugia timori,Helminths,Species,HSE (UK)
42231,Mansonella perstans,Helminths,Species,HSE (UK)
46835,Fasciola gigantica,Helminths,Species,HSE (UK)
51028,Enterobius vermicularis,Helminths,Species,HSE (UK)
51031,Necator americanus,Helminths,Species,HSE (UK)
57078,Dicrocoelium dendriticum,Helminths,Species,HSE (UK)
60516,Dibothriocephalus latus,Helminths,Species,HSE (UK)
79922,Clonorchis spp,Helminths,Genus,HSE (UK)
84527,Metagonimus spp,Helminths,Genus,HSE (UK)
102285,Rodentolepis nana,Helminths,Species,HSE (UK)
104454,Heterophyes spp,Helminths,Genus,HSE (UK)
106324,Contracaecum osculatum,Helminths,Species,HSE (UK)
114233,Dipetalonema,Helminths,Genus,HSE (UK)
119095,Capillaria spp,Helminths,Genus,HSE (UK)
122354,Mansonella ozzardi,Helminths,Species,HSE (UK)
147828,Opisthorchis felineus,Helminths,Species,HSE (UK)
318479,Dracunculus medinensis,Helminths,Species,HSE (UK)
334426,Angiostrongylus costaricensis,Helminths,Species,HSE (UK)
1457282,Paracapillaria philippinensis,Helminths,Species,HSE (UK)
1761664,Mansonella streptocerca,Helminths,Species,HSE (UK)
