Taxonomy ID,Scientific name,Rank,Source
1993,Actinomadura madurae,Species,HSE (UK)
111805,Actinomadura pelletieri,Species,HSE (UK)
52769,Actinomyces gerencseriae,Species,HSE (UK)
1659,Actinomyces israelii,Species,HSE (UK)
1654,Actinomyces spp,Genus,HSE (UK)
714,Aggregatibacter actinomycetemcomitans,Species,HSE (UK)
507,Alcaligenes spp,Genus,HSE (UK)
28264,Arcanobacterium haemolyticum,Species,HSE (UK)
28197,Arcobacter butzleri,Species,HSE (UK)
1392,Bacillus anthracis,Species,HSE (UK)
1396,Bacillus cereus,Species,HSE (UK)
817,Bacteroides fragilis,Species,HSE (UK)
816,Bacteroides spp,Genus,HSE (UK)
774,Bartonella bacilliformis,Species,HSE (UK)
803,Bartonella quintana,Species,HSE (UK)
773,Bartonella spp,Genus,HSE (UK)
518,Bordetella bronchiseptica,Species,HSE (UK)
519,Bordetella parapertussis,Species,HSE (UK)
520,Bordetella pertussis,Species,HSE (UK)
517,Bordetella spp,Genus,HSE (UK)
139,Borreliella burgdorferi,Species,HSE (UK)
40834,Borrelia duttonii,Species,HSE (UK)
44449,Borrelia recurrentis,Species,HSE (UK)
138,Borrelia spp,Genus,HSE (UK)
29521,Brachyspira spp,Genus,HSE (UK)
235,Brucella abortus,Species,HSE (UK)
36855,Brucella canis,Species,HSE (UK)
29459,Brucella melitensis,Species,HSE (UK)
29461,Brucella suis,Species,HSE (UK)
292,Burkholderia cepacia,Species,HSE (UK)
13373,Burkholderia mallei,Species,HSE (UK)
28450,Burkholderia pseudomallei,Species,HSE (UK)
196,Campylobacter fetus,Species,HSE (UK)
197,Campylobacter jejuni,Species,HSE (UK)
194,Campylobacter spp,Genus,HSE (UK)
2718,Cardiobacterium hominis,Species,HSE (UK)
83558,Chlamydia pneumoniae,Species,HSE (UK)
83554,Chlamydia psittaci,Species,HSE (UK)
813,Chlamydia trachomatis,Species,HSE (UK)
1491,Clostridium botulinum,Species,HSE (UK)
1502,Clostridium perfringens,Species,HSE (UK)
1485,Clostridium spp,Genus,HSE (UK)
1513,Clostridium tetani,Species,HSE (UK)
1717,Corynebacterium diphtheriae,Species,HSE (UK)
38301,Corynebacterium minutissimum,Species,HSE (UK)
1719,Corynebacterium pseudotuberculosis,Species,HSE (UK)
1716,Corynebacterium spp,Genus,HSE (UK)
65058,Corynebacterium ulcerans,Species,HSE (UK)
777,Coxiella burnetii,Species,HSE (UK)
636,Edwardsiella tarda,Species,HSE (UK)
943,Ehrlichia spp,Genus,HSE (UK)
539,Eikenella corrodens,Species,HSE (UK)
238,Elizabethkingia meningoseptica,Species,HSE (UK)
550,Enterobacter cloacae,Species,HSE (UK)
547,Enterobacter spp,Genus,HSE (UK)
1350,Enterococcus spp,Genus,HSE (UK)
1648,Erysipelothrix rhusiopathiae,Species,HSE (UK)
562,Escherichia coli,Species,HSE (UK)
447,Fluoribacter bozemanae,Species,HSE (UK)
263,Francisella tularensis,Species,HSE (UK)
859,Fusobacterium necrophorum,Species,HSE (UK)
848,Fusobacterium spp,Genus,HSE (UK)
2702,Gardnerella vaginalis,Species,HSE (UK)
730,Haemophilus ducreyi,Species,HSE (UK)
727,Haemophilus influenzae,Species,HSE (UK)
724,Haemophilus spp,Genus,HSE (UK)
210,Helicobacter pylori,Species,HSE (UK)
571,Klebsiella oxytoca,Species,HSE (UK)
573,Klebsiella pneumoniae,Species,HSE (UK)
570,Klebsiella spp,Genus,HSE (UK)
446,Legionella pneumophila,Species,HSE (UK)
445,Legionella spp,Genus,HSE (UK)
173,Leptospira interrogans,Species,HSE (UK)
1638,Listeria ivanovii,Species,HSE (UK)
1639,Listeria monocytogenes,Species,HSE (UK)
480,Moraxella catarrhalis,Species,HSE (UK)
582,Morganella morganii,Species,HSE (UK)
33894,Mycobacterium africanum,Species,HSE (UK)
1764,Mycobacterium avium,Species,HSE (UK)
1767,Mycobacterium intracellulare,Species,HSE (UK)
1765,Mycobacterium bovis,Species,HSE (UK)
1768,Mycobacterium kansasii,Species,HSE (UK)
