Taxonomy ID,Scientific name,Rank,Source
6313,Angiostrongylus cantonensis,Species,HSE (UK)
334426,Angiostrongylus costaricensis,Species,HSE (UK)
6252,Ascaris lumbricoides,Species,HSE (UK)
6253,Ascaris suum,Species,HSE (UK)
6279,Brugia malayi,Species,HSE (UK)
6280,Brugia pahangi,Species,HSE (UK)
42155,Brugia timori,Species,HSE (UK)
119095,Capillaria spp,Genus,HSE (UK)
79922,Clonorchis spp,Genus,HSE (UK)
106324,Contracaecum osculatum,Species,HSE (UK)
60516,Dibothriocephalus latus,Species,HSE (UK)
57078,Dicrocoelium dendriticum,Species,HSE (UK)
114233,Dipetalonema,Genus,HSE (UK)
318479,Dracunculus medinensis,Species,HSE (UK)
6210,Echinococcus granulosus,Species,HSE (UK)
6211,Echinococcus multilocularis,Species,HSE (UK)
6213,Echinococcus vogeli,Species,HSE (UK)
51028,Enterobius vermicularis,Species,HSE (UK)
46835,Fasciola gigantica,Species,HSE (UK)
6192,Fasciola hepatica,Species,HSE (UK)
27845,Fasciolopsis buski,Species,HSE (UK)
104454,Heterophyes spp,Genus,HSE (UK)
6216,Hymenolepis diminuta,Species,HSE (UK)
7209,Loa loa,Species,HSE (UK)
122354,Mansonella ozzardi,Species,HSE (UK)
42231,Mansonella perstans,Species,HSE (UK)
1761664,Mansonella streptocerca,Species,HSE (UK)
84527,Metagonimus spp,Genus,HSE (UK)
51031,Necator americanus,Species,HSE (UK)
6282,Onchocerca volvulus,Species,HSE (UK)
147828,Opisthorchis felineus,Species,HSE (UK)
41765,Opisthorchis sinensis,Species,HSE (UK)
6197,Opisthorchis spp,Genus,HSE (UK)
6198,Opisthorchis viverrini,Species,HSE (UK)
1457282,Paracapillaria philippinensis,Species,HSE (UK)
34503,Paragonimus spp,Genus,HSE (UK)
34504,Paragonimus westermani,Species,HSE (UK)
6271,Pseudoterranova decipiens,Species,HSE (UK)
102285,Rodentolepis nana,Species,HSE (UK)
6185,Schistosoma haematobium,Species,HSE (UK)
6187,Schistosoma intercalatum,Species,HSE (UK)
6182,Schistosoma japonicum,Species,HSE (UK)
6183,Schistosoma mansoni,Species,HSE (UK)
38744,Schistosoma mekongi,Species,HSE (UK)
6181,Schistosoma spp,Genus,HSE (UK)
6247,Strongyloides spp,Genus,HSE (UK)
6248,Strongyloides stercoralis,Species,HSE (UK)
6206,Taenia saginata,Species,HSE (UK)
6204,Taenia solium,Species,HSE (UK)
6265,Toxocara canis,Species,HSE (UK)
6266,Toxocara cati,Species,HSE (UK)
6335,Trichinella nativa,Species,HSE (UK)
6336,Trichinella nelsoni,Species,HSE (UK)
6337,Trichinella pseudospiralis,Species,HSE (UK)
6334,Trichinella spiralis,Species,HSE (UK)
6318,Trichostrongylus spp,Genus,HSE (UK)
36087,Trichuris trichiura,Species,HSE (UK)
6293,Wuchereria bancrofti,Species,HSE (UK)
