Taxonomy ID,Scientific name,Rank,Source
5754,Acanthamoeba spp,Genus,HSE (UK)
32595,Babesia divergens,Species,HSE (UK)
5868,Babesia microti,Species,HSE (UK)
5864,Babesia spp,Genus,HSE (UK)
71585,Balantioides coli,Species,HSE (UK)
12968,Blastocystis hominis,Species,HSE (UK)
237895,Cryptosporidium hominis,Species,HSE (UK)
5807,Cryptosporidium parvum,Species,HSE (UK)
5806,Cryptosporidium spp,Genus,HSE (UK)
88456,Cyclospora cayetanensis,Species,HSE (UK)
44417,Cyclospora spp,Genus,HSE (UK)
482538,Cystoisospora belli,Species,HSE (UK)
43352,Dientamoeba fragilis,Species,HSE (UK)
6035,Encephalitozoon cuniculi,Species,HSE (UK)
27973,Encephalitozoon hellem,Species,HSE (UK)
58839,Encephalitozoon intestinalis,Species,HSE (UK)
5759,Entamoeba histolytica,Species,HSE (UK)
31281,Enterocytozoon bieneusi,Species,HSE (UK)
5741,Giardia intestinalis,Species,HSE (UK)
5667,Leishmania aethiopica,Species,HSE (UK)
5660,Leishmania braziliensis,Species,HSE (UK)
5661,Leishmania donovani,Species,HSE (UK)
5664,Leishmania major,Species,HSE (UK)
5665,Leishmania mexicana,Species,HSE (UK)
5681,Leishmania peruviana,Species,HSE (UK)
5658,Leishmania spp,Genus,HSE (UK)
5666,Leishmania tropica,Species,HSE (UK)
5763,Naegleria fowleri,Species,HSE (UK)
5833,Plasmodium falciparum,Species,HSE (UK)
5820,Plasmodium spp,Genus,HSE (UK)
102713,Sarcocystis suihominis,Species,HSE (UK)
5811,Toxoplasma gondii,Species,HSE (UK)
5722,Trichomonas vaginalis,Species,HSE (UK)
5702,Trypanosoma brucei brucei,Species,HSE (UK)
31285,Trypanosoma brucei gambiense,Species,HSE (UK)
31286,Trypanosoma brucei rhodesiense,Species,HSE (UK)
5693,Trypanosoma cruzi,Species,HSE (UK)
