Taxonomy ID,Scientific Name,Type,Rank,Source
10239,Viruses,Viruses,Superkingdom,HSE (UK)
10244,Monkeypox virus,Viruses,Species,WHO
10266,Sheeppox virus,Viruses,Species,SAPO
10345,Suid alphaherpesvirus 1,Viruses,No rank,SAPO
10497,African swine fever virus,Viruses,Species,SAPO
11021,Eastern equine encephalitis virus,Viruses,No rank,SAPO
11036,Venezuelan equine encephalomyelitis virus,Viruses,Species,SAPO
11039,Western equine encephalitis virus,Viruses,Species,SAPO
11072,Japanese encephalitis virus,Viruses,No rank,SAPO
11080,St. Louis encephalitis virus,Viruses,No rank,SAPO
11082,West Nile virus,Viruses,No rank,SAPO
11096,Classical swine fever virus,Viruses,No rank,SAPO
11241,Rinderpest morbillivirus,Viruses,No rank,SAPO
11269,Orthomarburgvirus marburgense,Viruses,Species,WHO
11276,Vesicular stomatitis virus,Viruses,Species,SAPO
11292,Lyssavirus rabies,Viruses,Species,SAPO
11320,Influenza A virus,Viruses,No rank,SAPO
11588,Rift Valley Fever virus,Viruses,No rank,SAPO
11588,Rift Valley fever virus,Viruses,Species,WHO
11620,Mammarenavirus lassaense,Viruses,Species,WHO
11665,Equine infectious anemia virus,Viruses,Species,SAPO
11901,Bovine leukemia virus,Viruses,Species,SAPO
11976,Rabbit hemorrhagic disease virus,Viruses,Species,SAPO
12075,Swine vesicular disease virus,Viruses,No rank,SAPO
12110,Foot-and-mouth disease virus,Viruses,Species,SAPO
40050,Orbivirus alphaequi,Viruses,Species,SAPO
40051,Bluetongue virus,Viruses,Species,SAPO
59509,Lumpy skin disease virus,Viruses,Species,SAPO
64320,Zika virus,Viruses,Species,WHO
118139,Teschovirus,Viruses,Genus,SAPO
121791,Henipavirus nipahense,Viruses,Species,WHO
186805,Goatpox virus,Viruses,Species,SAPO
260964,Henipavirus,Viruses,Genus,WHO
1570291,Ebola virus,Viruses,Species,WHO
1980519,Orthonairovirus haemorrhagiae,Viruses,Species,WHO
2560319,Avian paramyxovirus type 1,Viruses,No rank,SAPO
2593991,peste-des-petits-ruminants virus,Viruses,No rank,SAPO
3052223,Henipavirus hendraense,Viruses,Species,SAPO
3052225,Henipavirus nipahense,Viruses,Species,SAPO
1003835,Severe fever with thrombocytopenia syndrome virus,Viruses,No rank,NIAID
10242,Orthopoxvirus,Viruses,Genus,NIAID
11021,Eastern equine encephalitis virus,Viruses,Species,NIAID
11036,Venezuelan equine encephalitis virus,Viruses,Species,NIAID
11039,Western equine encephalitis virus,Viruses,Species,NIAID
11050,Flaviviridae,Viruses,Family,NIAID
11072,Japanese encephalitis virus,Viruses,No rank,NIAID
11080,St. Louis encephalitis virus,Viruses,No rank,NIAID
11082,West Nile virus,Viruses,No rank,"Global Arbovirus Initiative, NIAID"
11083,Powassan virus,Viruses,No rank,NIAID
11089,Yellow fever virus,Viruses,No rank,"Global Arbovirus Initiative, NIAID"
11118,Coronaviridae,Viruses,Family,NIAID
11292,Lyssavirus rabies,Viruses,Species,NIAID
11308,Orthomyxoviridae,Viruses,Family,NIAID
11577,La Crosse virus,Viruses,No rank,NIAID
11587,Punta Toro virus,Viruses,No rank,NIAID
11588,Rift Valley fever virus,Viruses,No rank,"Global Arbovirus Initiative, NIAID"
118655,Oropouche virus,Viruses,No rank,NIAID
11974,Caliciviridae,Viruses,Family,NIAID
12092,Hepatovirus A,Viruses,Species,NIAID
1216928,Heartland virus,Viruses,No rank,NIAID
12542,Omsk hemorrhagic fever virus,Viruses,No rank,NIAID
12637,Dengue virus,Viruses,No rank,"Global Arbovirus Initiative, NIAID"
138950,Enterovirus C,Viruses,Species,NIAID
172148,Alkhurma virus,Viruses,No rank,NIAID
1980442,Orthohantavirus,Viruses,Genus,NIAID
2169701,Onyong-nyong virus,Viruses,Species,NIAID
2169991,Mammarenavirus juninense,Viruses,Species,NIAID
2971765,Langya virus,Viruses,Species,NIAID
3044781,Orthoebolavirus,Viruses,Genus,NIAID
3044783,Orthomarburgvirus,Viruses,Genus,NIAID
3052223,Henipavirus hendraense,Viruses,Species,NIAID
3052225,Henipavirus nipahense,Viruses,Species,NIAID
3052302,Mammarenavirus chapareense,Viruses,Species,NIAID
3052303,Mammarenavirus choriomeningitidis,Viruses,Species,NIAID
3052307,Mammarenavirus guanaritoense,Viruses,Species,NIAID
3052310,Mammarenavirus lassaense,Viruses,Species,NIAID
3052314,Mammarenavirus lujoense,Viruses,Species,NIAID
3052317,Mammarenavirus machupoense,Viruses,Species,NIAID
3052518,Orthonairovirus haemorrhagiae,Viruses,Species,"Global Arbovirus Initiative, NIAID"
33743,Kyasanur Forest disease virus,Viruses,No rank,NIAID
35305,California encephalitis virus,Viruses,No rank,NIAID
37124,Chikungunya virus,Viruses,Species,"Global Arbovirus Initiative, NIAID"
39054,Enterovirus A71,Viruses,Serotype,NIAID
42789,Enterovirus D68,Viruses,Serotype,NIAID
59301,Mayaro virus,Viruses,Species,NIAID
64286,Usutu virus,Viruses,No rank,Global Arbovirus Initiative
64318,Spondweni virus,Viruses,Species,Global Arbovirus Initiative
64320,Zika virus,Viruses,No rank,"Global Arbovirus Initiative, NIAID"
80935,Cache Valley virus,Viruses,No rank,NIAID
